59,1100218,台南區,潭頂淨水場,南區,裕文路125號,<1,11,0.3,0.41,7.7
60,1100223,台南區,潭頂淨水場,東區,中華東路3段108號,<1,6,0.35,0.44,7.9
61,1100223,台南區,潭頂淨水場,東區,東門路1段215號,<1,10,0.25,0.49,7.8
62,1100223,台南區,潭頂淨水場,東區,崇德五街79號,<1,10,0.35,0.47,7.8
63,1100223,台南區,潭頂淨水場,東區,莊敬路64號,<1,9,0.4,0.53,7.8
64,1100223,台南區,潭頂淨水場,東區,裕農路595號,<1,10,0.45,0.52,7.8
65,1100223,台南區,潭頂淨水場,安平區,永華路2段210號,<1,3,0.4,0.43,7.8
66,1100223,台南區,烏山頭淨水場,下營區,下營里中山路一段1號,<1,11,0.75,0.55,7.9
67,1100223,台南區,烏山頭淨水場,北門區,鯤江里蚵寮825號,<1,14,0.4,0.32,7.9
68,1100223,台南區,烏山頭淨水場,佳里區,興化里570號之18,<1,14,0.45,0.45,7.9
69,1100223,台南區,烏山頭淨水場,麻豆區,興中路211號,<1,7,0.75,0.62,7.9
70,1100223,台南區,烏山頭淨水場,學甲區,華宗路258號,<1,14,0.5,0.61,7.9
71,1100223,台南區,潭頂淨水場,中西區,友愛街38號,<1,9,0.45,0.51,7.8
72,1100223,台南區,潭頂淨水場,中西區,府前路2段244號,<1,13,0.4,0.43,7.8
